alpha,beta,SumErr
1.0,1.0,3.86077240451
1.0,2.0,16.5143553145
1.0,3.0,31.8306840733
1.0,4.0,47.9418810861
1.0,5.0,63.9654997275
1.0,6.0,79.4830678953
1.0,7.0,94.3053975051
1.0,8.0,108.363304534
1.0,9.0,121.647210743
1.0,10.0,134.179928137
1.0,11.0,145.998065265
1.0,12.0,157.146295989
1.0,13.0,167.671070451
1.0,14.0,177.616497007
1.0,15.0,187.026519787
1.0,16.0,195.940293536
1.0,17.0,204.395947998
1.0,18.0,212.427079367
1.0,19.0,220.064429737
1.0,20.0,227.337467856
1.38775510204,1.0,0.610251321128
1.38775510204,2.0,8.23380916942
1.38775510204,3.0,18.8953700768
1.38775510204,4.0,31.1042898504
1.38775510204,5.0,43.9592578802
1.38775510204,6.0,56.9346589539
1.38775510204,7.0,69.7277658543
1.38775510204,8.0,82.1690465262
1.38775510204,9.0,94.1683200644
1.38775510204,10.0,105.683547996
1.38775510204,11.0,116.700262549
1.38775510204,12.0,127.222783246
1.38775510204,13.0,137.263977503
1.38775510204,14.0,146.843929222
1.38775510204,15.0,155.984081329
1.38775510204,16.0,164.708629074
1.38775510204,17.0,173.040686933
1.38775510204,18.0,181.00286287
1.38775510204,19.0,188.618012731
1.38775510204,20.0,195.906686106
1.77551020408,1.0,0.823740514985
1.77551020408,2.0,3.71905367141
1.77551020408,3.0,11.0371604078
1.77551020408,4.0,20.1513241307
1.77551020408,5.0,30.3058603092
1.77551020408,6.0,40.9843973188
1.77551020408,7.0,51.8480691385
1.77551020408,8.0,62.6785651776
1.77551020408,9.0,73.3379584934
1.77551020408,10.0,83.7403239441
1.77551020408,11.0,93.8358564967
1.77551020408,12.0,103.596700819
1.77551020408,13.0,113.01143862
1.77551020408,14.0,122.07781289
1.77551020408,15.0,130.800132861
1.77551020408,16.0,139.187711946
1.77551020408,17.0,147.251566586
1.77551020408,18.0,155.004194238
1.77551020408,19.0,162.45968368
1.77551020408,20.0,169.631478653
2.16326530612,1.0,1.46491494866
2.16326530612,2.0,1.22437016166
2.16326530612,3.0,6.20140869018
2.16326530612,4.0,12.9366318829
2.16326530612,5.0,20.8730590482
2.16326530612,6.0,29.5656511093
2.16326530612,7.0,38.6880788696
2.16326530612,8.0,48.00943567
2.16326530612,9.0,57.3686756518
2.16326530612,10.0,66.6561206293
2.16326530612,11.0,75.7971458974
2.16326530612,12.0,84.7432319787
2.16326530612,13.0,93.4631021341
2.16326530612,14.0,101.938081302
2.16326530612,15.0,110.15892492
2.16326530612,16.0,118.122008557
2.16326530612,17.0,125.828236359
2.16326530612,18.0,133.281306046
2.16326530612,19.0,140.487494053
2.16326530612,20.0,147.453818112
2.55102040816,1.0,1.75458859397
2.55102040816,2.0,0.168758677019
2.55102040816,3.0,3.19445453055
2.55102040816,4.0,8.13617785091
2.55102040816,5.0,14.2920386344
2.55102040816,6.0,21.3124608761
2.55102040816,7.0,28.9109199947
2.55102040816,8.0,36.867011899
2.55102040816,9.0,45.0158056721
2.55102040816,10.0,53.2367202201
2.55102040816,11.0,61.4419181661
2.55102040816,12.0,69.5689502599
2.55102040816,13.0,77.5734123671
2.55102040816,14.0,85.4246896082
2.55102040816,15.0,93.1021316793
2.55102040816,16.0,100.592899733
2.55102040816,17.0,107.88926426
2.55102040816,18.0,114.98765632
2.55102040816,19.0,121.887332705
2.55102040816,20.0,128.590069833
2.9387755102,1.0,1.99996565643
2.9387755102,2.0,0.953509800645
2.9387755102,3.0,1.30893199198
2.9387755102,4.0,4.91561088234
2.9387755102,5.0,9.66356085879
2.9387755102,6.0,15.3002459968
2.9387755102,7.0,21.5911263859
2.9387755102,8.0,28.3397256685
2.9387755102,9.0,35.3897525822
2.9387755102,10.0,42.6195799088
2.9387755102,11.0,49.9365317435
2.9387755102,12.0,57.2703612374
2.9387755102,13.0,64.5684789814
2.9387755102,14.0,71.7921495242
2.9387755102,15.0,78.9128564166
2.9387755102,16.0,85.9101819099
2.9387755102,17.0,92.7698424212
2.9387755102,18.0,99.4821700723
2.9387755102,19.0,106.041300535
2.9387755102,20.0,112.443867531
3.32653061224,1.0,1.99999317723
3.32653061224,2.0,1.3988337712
3.32653061224,3.0,0.118229787098
3.32653061224,4.0,2.74011286543
3.32653061224,5.0,6.38653228081
3.32653061224,6.0,10.8918695956
3.32653061224,7.0,16.0757862182
3.32653061224,8.0,21.7728631567
3.32653061224,9.0,27.8422193716
3.32653061224,10.0,34.1687598931
3.32653061224,11.0,40.6602690249
3.32653061224,12.0,47.244003816
3.32653061224,13.0,53.8632977684
3.32653061224,14.0,60.4741472682
3.32653061224,15.0,67.0427988621
3.32653061224,16.0,73.543573035
3.32653061224,17.0,79.9571168935
3.32653061224,18.0,86.2692319869
3.32653061224,19.0,92.4695286943
3.32653061224,20.0,98.550767106
3.71428571429,1.0,1.99999865395
3.71428571429,2.0,1.65306032586
3.71428571429,3.0,0.638270169116
3.71428571429,4.0,1.26203182264
3.71428571429,5.0,4.0530738507
3.71428571429,6.0,7.64146639663
3.71428571429,7.0,11.8975837154
3.71428571429,8.0,16.6887204461
3.71428571429,9.0,21.8935837307
3.71428571429,10.0,27.4076519701
3.71428571429,11.0,33.1435272774
3.71428571429,12.0,39.0296276351
3.71428571429,13.0,45.0080263888
3.71428571429,14.0,51.0323687385
3.71428571429,15.0,57.0657106672
3.71428571429,16.0,63.0788855387
3.71428571429,17.0,69.0489906128
3.71428571429,18.0,74.958287739
3.71428571429,19.0,80.7930586572
3.71428571429,20.0,86.542915447
4.10204081633,1.0,1.99999973619
4.10204081633,2.0,1.79898539408
4.10204081633,3.0,1.12132013126
4.10204081633,4.0,0.252731959966
4.10204081633,5.0,2.38344360696
4.10204081633,6.0,5.23343548663
4.10204081633,7.0,8.71751958617
4.10204081633,8.0,12.7345062349
4.10204081633,9.0,17.1840422901
4.10204081633,10.0,21.9745465253
4.10204081633,11.0,27.0261447373
4.10204081633,12.0,32.2709348675
4.10204081633,13.0,37.6521990219
4.10204081633,14.0,43.1231495235
4.10204081633,15.0,48.64543929
4.10204081633,16.0,54.1878956532
4.10204081633,17.0,59.7253188878
4.10204081633,18.0,65.2374586797
4.10204081633,19.0,70.7081341772
4.10204081633,20.0,76.1245662438
4.48979591837,1.0,1.99999994862
4.48979591837,2.0,1.88312735278
4.48979591837,3.0,1.43115535303
4.48979591837,4.0,0.439453099329
4.48979591837,5.0,1.18371576488
4.48979591837,6.0,3.44207631126
4.48979591837,7.0,6.28733589875
4.48979591837,8.0,9.64686653287
4.48979591837,9.0,13.4409076612
4.48979591837,10.0,17.5918630801
4.48979591837,11.0,22.0288300129
4.48979591837,12.0,26.6893469378
4.48979591837,13.0,31.5195812316
4.48979591837,14.0,36.4738528019
4.48979591837,15.0,41.513789502
4.48979591837,16.0,46.6074344234
4.48979591837,17.0,51.7282975422
4.48979591837,18.0,56.8545611431
4.48979591837,19.0,61.9683414261
4.48979591837,20.0,67.0550567806
4.87755102041,1.0,1.99999999005
4.87755102041,2.0,1.93183814859
4.87755102041,3.0,1.63065789613
4.87755102041,4.0,0.915959367835
4.87755102041,5.0,0.318421092412
4.87755102041,6.0,2.10462171884
4.87755102041,7.0,4.42357798761
4.87755102041,8.0,7.2274770054
4.87755102041,9.0,10.4556917945
4.87755102041,10.0,14.0445928473
4.87755102041,11.0,17.9329840806
4.87755102041,12.0,22.0648250291
4.87755102041,13.0,26.3903198831
4.87755102041,14.0,30.8660526679
4.87755102041,15.0,35.4546837674
4.87755102041,16.0,40.1243997684
4.87755102041,17.0,44.8482838506
4.87755102041,18.0,49.6037057072
4.87755102041,19.0,54.3717097443
4.87755102041,20.0,59.136502091
5.26530612245,1.0,1.99999999808
5.26530612245,2.0,1.96013684954
5.26530612245,3.0,1.75956768695
5.26530612245,4.0,1.24510180546
5.26530612245,5.0,0.307709149478
5.26530612245,6.0,1.10285032331
5.26530612245,7.0,2.98972903314
5.26530612245,8.0,5.32584304929
5.26530612245,9.0,8.06770755487
5.26530612245,10.0,11.1649377934
5.26530612245,11.0,14.5661315463
5.26530612245,12.0,18.2221957624
5.26530612245,13.0,22.0880564185
5.26530612245,14.0,26.1233520197
5.26530612245,15.0,30.2925550841
5.26530612245,16.0,34.5647506994
5.26530612245,17.0,38.9132764626
5.26530612245,18.0,43.315286448
5.26530612245,19.0,47.7513072546
5.26530612245,20.0,52.2048115041
5.65306122449,1.0,1.99999999963
5.65306122449,2.0,1.97662738853
5.65306122449,3.0,1.84311435014
5.65306122449,4.0,1.47312977478
5.65306122449,5.0,0.762104364496
