0.0D,100.0D,200.23D,299.77D,400.46D,500.0D,4155.09D,73495.37D
0.000E+00,1.524E+02,3.021E+02,4.495E+02,5.952E+02,5.953E+02,5.953E+02,5.953E+02
0.000E+00,1.524E+02,3.021E+02,4.495E+02,5.952E+02,5.953E+02,5.953E+02,5.953E+02
0.000E+00,1.524E+02,3.021E+02,4.495E+02,5.952E+02,5.953E+02,5.953E+02,5.953E+02
0.000E+00,1.524E+02,3.021E+02,4.495E+02,5.952E+02,5.953E+02,5.953E+02,5.953E+02
0.000E+00,1.524E+02,3.021E+02,4.495E+02,5.952E+02,5.953E+02,5.953E+02,5.953E+02
0.000E+00,1.524E+02,3.021E+02,4.495E+02,5.952E+02,5.953E+02,5.953E+02,5.953E+02
0.000E+00,1.524E+02,3.021E+02,4.495E+02,5.952E+02,5.953E+02,5.953E+02,5.953E+02
0.000E+00,1.524E+02,3.021E+02,4.495E+02,5.952E+02,5.953E+02,5.953E+02,5.953E+02
0.000E+00,1.524E+02,3.021E+02,4.495E+02,5.952E+02,5.953E+02,5.953E+02,5.953E+02
0.000E+00,1.524E+02,3.021E+02,4.495E+02,5.952E+02,5.953E+02,5.953E+02,5.953E+02
