0.0D,100.0D,200.23D,299.77D,400.46D,500.0D,4155.09D,73495.37D
0.000E+00,1.385E+02,2.772E+02,4.152E+02,5.528E+02,5.493E+02,4.360E+02,5.424E+00
0.000E+00,1.385E+02,2.772E+02,4.152E+02,5.528E+02,5.493E+02,4.360E+02,5.424E+00
0.000E+00,1.385E+02,2.772E+02,4.152E+02,5.528E+02,5.493E+02,4.360E+02,5.424E+00
0.000E+00,1.385E+02,2.772E+02,4.152E+02,5.528E+02,5.493E+02,4.360E+02,5.424E+00
0.000E+00,1.385E+02,2.772E+02,4.152E+02,5.528E+02,5.493E+02,4.360E+02,5.424E+00
0.000E+00,1.385E+02,2.772E+02,4.152E+02,5.528E+02,5.493E+02,4.360E+02,5.424E+00
0.000E+00,1.385E+02,2.772E+02,4.152E+02,5.528E+02,5.493E+02,4.360E+02,5.424E+00
0.000E+00,1.385E+02,2.772E+02,4.152E+02,5.528E+02,5.493E+02,4.360E+02,5.424E+00
0.000E+00,1.385E+02,2.772E+02,4.152E+02,5.528E+02,5.493E+02,4.360E+02,5.424E+00
0.000E+00,1.385E+02,2.772E+02,4.152E+02,5.528E+02,5.493E+02,4.360E+02,5.424E+00
