0.0D,100.0D,200.23D,299.77D,400.46D,500.0D,4155.09D,73495.37D
0.000E+00,7.332E-01,8.701E+00,3.140E+01,7.355E+01,7.356E+01,7.356E+01,7.355E+01
0.000E+00,7.332E-01,8.701E+00,3.140E+01,7.355E+01,7.356E+01,7.356E+01,7.355E+01
0.000E+00,7.332E-01,8.701E+00,3.140E+01,7.355E+01,7.356E+01,7.356E+01,7.355E+01
0.000E+00,7.332E-01,8.701E+00,3.140E+01,7.355E+01,7.356E+01,7.356E+01,7.355E+01
0.000E+00,7.332E-01,8.701E+00,3.140E+01,7.355E+01,7.356E+01,7.356E+01,7.355E+01
0.000E+00,7.332E-01,8.701E+00,3.140E+01,7.355E+01,7.356E+01,7.356E+01,7.355E+01
0.000E+00,7.332E-01,8.701E+00,3.140E+01,7.355E+01,7.356E+01,7.356E+01,7.355E+01
0.000E+00,7.332E-01,8.701E+00,3.140E+01,7.355E+01,7.356E+01,7.356E+01,7.355E+01
0.000E+00,7.332E-01,8.701E+00,3.140E+01,7.355E+01,7.356E+01,7.356E+01,7.355E+01
0.000E+00,7.332E-01,8.701E+00,3.140E+01,7.355E+01,7.356E+01,7.356E+01,7.355E+01
