0.0D,100.0D,200.23D,299.77D,400.46D,500.0D,4155.09D,73495.37D
0.000E+00,2.034E-05,3.942E-05,6.031E-05,8.296E-05,5.788E-05,6.005E-08,0.000E+00
0.000E+00,2.034E-05,3.942E-05,6.031E-05,8.296E-05,5.787E-05,6.000E-08,0.000E+00
0.000E+00,2.034E-05,3.942E-05,6.031E-05,8.296E-05,5.788E-05,6.007E-08,0.000E+00
0.000E+00,2.034E-05,3.942E-05,6.031E-05,8.296E-05,5.788E-05,6.008E-08,0.000E+00
0.000E+00,2.034E-05,3.942E-05,6.031E-05,8.296E-05,5.787E-05,6.037E-08,0.000E+00
0.000E+00,2.034E-05,3.942E-05,6.031E-05,8.296E-05,5.788E-05,6.013E-08,0.000E+00
0.000E+00,2.034E-05,3.942E-05,6.031E-05,8.296E-05,5.787E-05,6.000E-08,0.000E+00
0.000E+00,2.034E-05,3.942E-05,6.031E-05,8.296E-05,5.787E-05,6.037E-08,0.000E+00
0.000E+00,2.034E-05,3.942E-05,6.031E-05,8.296E-05,5.788E-05,6.000E-08,0.000E+00
0.000E+00,2.034E-05,3.942E-05,6.031E-05,8.296E-05,5.788E-05,6.000E-08,0.000E+00
