0.0D,100.0D,200.23D,299.77D,400.46D,500.0D,4155.09D,73495.37D
0.000E+00,1.866E+00,2.078E+00,2.192E+00,2.269E+00,3.622E+00,3.622E+00,3.622E+00
0.000E+00,1.866E+00,2.078E+00,2.192E+00,2.269E+00,3.622E+00,3.622E+00,3.622E+00
0.000E+00,1.866E+00,2.078E+00,2.192E+00,2.269E+00,3.622E+00,3.622E+00,3.622E+00
0.000E+00,1.866E+00,2.078E+00,2.192E+00,2.269E+00,3.622E+00,3.622E+00,3.622E+00
0.000E+00,1.866E+00,2.078E+00,2.192E+00,2.269E+00,3.622E+00,3.622E+00,3.622E+00
0.000E+00,1.866E+00,2.078E+00,2.192E+00,2.269E+00,3.622E+00,3.622E+00,3.622E+00
0.000E+00,1.866E+00,2.078E+00,2.192E+00,2.269E+00,3.622E+00,3.622E+00,3.622E+00
0.000E+00,1.866E+00,2.078E+00,2.192E+00,2.269E+00,3.622E+00,3.622E+00,3.622E+00
0.000E+00,1.866E+00,2.078E+00,2.192E+00,2.269E+00,3.622E+00,3.622E+00,3.622E+00
0.000E+00,1.866E+00,2.078E+00,2.192E+00,2.269E+00,3.622E+00,3.622E+00,3.622E+00
